,Unnamed: 0,Username,Grade,Quiz 1: Uso de modelos matemáticos en la economía,Quiz 2: Motivación y Función de Producción,Quiz 3: Preferencias y Toma de Decisiones,Quiz 4: Salario y Efectos,Quiz 5: Explicando Diferencias y Conclusión,Quiz 6: Introducción y conceptos iniciales,Quiz 7: Prediciendo el resultado de un juego,Quiz 8: Evaluación de Resultados,Quiz 9: Determinación de Asignaciones,Quiz 10: Desigualdad,Quiz 11: Conceptos centrales,Quiz 12: Profundizando lo aprendido,Quiz 13: Conceptos centrales,Quiz 14: Profundizando lo aprendido,Quiz 15: Conceptos centrales,Quiz 16: Profundizando lo aprendido,"Quiz 18: Oferta, demanda y equilibrio de mercado",Quiz 19: Cambios en la oferta y la demanda,Quiz 20: Excedentes y la mano invisible,Quiz 21: Impuestos y Subsidios,Quiz 22: Eficiencia y externalidades,Quiz 23: Corrección de fallas,Quiz 24: Otras fuentes de ineficiencia,Quiz 25: Regla de la mayoría,Quiz 26: La paradoja de Condorcet,Quiz 27: Teorema del votante mediano,Quiz 28: Decisiones intertemporales,Quiz 29: Tópicos Adicionales,Quiz (Avg)
43,47,42e244bebb4bd9967d6e45be839efa459fe691f6b1068296a7beafd7ea1286b8,0.82,1.0,1.0,1.0,1.0,1.0,-1.0,0.25,1.0,1.0,1.0,0.33,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,0.5,-1.0,0.7958620689655171
44,48,98f026514b2778d1434d934a946838f7898a662a2fa42d0e3956610e7d1d4f63,0.99,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.67,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9541379310344827
46,51,81a3c150bed97272241c53e2edd2ba02cac4ca7179557f45e32c146b0c779849,0.82,-1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,0.7931034482758621
47,52,f478abba8b69e385a5870d82552f15060e2886ce7e7fd4ed6068eb2ccf566b13,0.85,1.0,1.0,1.0,0.0,1.0,1.0,0.25,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.5,0.0,0.8189655172413793
48,53,d0e2d0908d697091c2c3550c91010f923cdb6846aac00d406fd5fce3077445d4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9655172413793104
49,54,775f4fe62a4a16dcace58503aa9742199d1f3eaf408ae8c8b661fe75715110f6,0.98,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9482758620689656
50,55,908abb0d846659c997a4b1eb70852868061add0eb16a8f4070d099219434618a,0.96,1.0,1.0,1.0,1.0,1.0,1.0,0.75,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.9224137931034484
51,56,42c23949dd5130fd4d1d3a1a7332e9f299e2aab1719152ad31239fb3ffad5642,0.89,-1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.8620689655172413
52,57,40d44dd79a8528b3cd4798f5c08288aca7f540c6b4d5f8cf2a4bba5a6a42ba5d,0.83,1.0,1.0,1.0,0.0,0.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.67,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.7989655172413793
53,58,aca35f938fc3859750f1762667a5d68831bb917fcb890f7b468c58c0a9c25322,0.93,-1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.896551724137931
54,59,ae36a279dfb548cf842b2d145dc59747a54e6cd41bf53f2db889286fcb6b528a,0.79,-1.0,1.0,1.0,0.0,1.0,-1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-1.0,-1.0,-1.0,1.0,1.0,0.7586206896551724
55,60,910b6d49a7f8812a12dc9f8710097a4d99fdf2cb92659b8b8b2152c600b5536b,0.89,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.5,1.0,1.0,1.0,0.33,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8562068965517241
56,61,2a214178ed8dca0850bd34a2c9f3c4fa55b522e37fa002370aff5e00ad659ad9,0.92,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.67,1.0,1.0,1.0,1.0,1.0,1.0,0.8851724137931035
57,62,3959c2ddbc29dba265c6b383963e81f01412d043ef492bc2c2a4f0b2e73aba96,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9655172413793104
58,63,5aedd0947057b1ffc97338996838b1cf9fb74aa704217b4e11c86661195a4a49,0.9,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.67,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.8679310344827587
59,64,ebe22696d27b9e9b063be24131d4f5c943cdbe0d1edd1f385417606146a27882,0.82,1.0,1.0,1.0,1.0,1.0,-1.0,0.25,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.67,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.5,0.5,0.7903448275862069
60,65,f97706e8e114850c96102e2147f17d30dbb48dd15a24dc8b24347b1e2bb1b889,0.8,1.0,-1.0,-1.0,-1.0,-1.0,1.0,0.75,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,0.7672413793103449
61,66,ab0003d7c01ccfababe725776d36658b9a08c9db4d2682293fde12264fa79f7e,0.79,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7586206896551724
62,67,826803e8d9be6c5bf8279b12cf54f348032f39168595d93ee98c35de27c51c2f,0.99,1.0,1.0,1.0,1.0,1.0,1.0,0.75,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.956896551724138
63,68,8c324a8323e4e5169e491e9f14f12980f9220d0a5345472da7dbea777b8cbf9a,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9655172413793104
64,69,1593e0f5226995621cf225500fb7f878eabe676cfb73d73a3a8a6168cd803098,0.87,1.0,1.0,1.0,1.0,1.0,1.0,0.75,1.0,1.0,1.0,0.67,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.0,0.0,1.0,1.0,0.8420689655172414
65,70,a6553f9d1922732c863cf2b864a2ae244459b31acac65699aeeb0efff72d89b6,0.73,0.75,1.0,1.0,1.0,1.0,0.0,0.25,1.0,1.0,1.0,1.0,0.5,1.0,1.0,0.0,0.67,1.0,1.0,1.0,1.0,0.0,0.67,1.0,0.5,1.0,0.0,1.0,0.0,0.7013793103448277
66,71,220298c02b71f89ef9f7ee79b98d2078aa3123b2511f4626d3d4a9f10004887f,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9655172413793104
