,Unnamed: 0,grade,seq_4_avg,quiz_avg,seq_0_avg,seq_1_avg,seq_2_avg,seq_3_avg,duracion_sesion_avg,duracion_sesion_std,duracion_EOL,num_sesiones_agosto,num_sesiones_septiembre,num_sesiones_noviembre,page_close_mean,page_close_std,problem_graded_mean,problem_graded_std,problem_check_mean,problem_check_std,problem_show_mean,problem_show_std,seg_prev_mean,seg_prev_std,seg_next_mean,seg_next_std,seg_goto_mean,seg_goto_std,load_video_mean,load_video_std,play_video_mean,play_video_std,pause_video_mean,pause_video_std,speed_change_video_mean,speed_change_video_std,num_eventos_seq_0,num_eventos_seq_1,num_eventos_seq_2,num_eventos_seq_3,num_eventos_seq_4,label
224,256218,1.0,1.0,0.9655172413793104,1.0,1.0,1.0,1.0,6.993624962468411,8.675664751664028,53.0,9.0,7.0,1.0,0.0,0.0,1.8235294117647056,2.3247390745427503,1.8235294117647056,2.3247390745427503,0.0588235294117647,0.2425356250363329,0.0,0.0,0.0,0.0,0.0,0.0,3.647058823529412,3.534493890053218,13.058823529411764,19.292066336435084,4.0,4.769696007084728,0.0,0.0,149.0,294.0,190.0,25.0,3.0,1
225,257282,1.0,1.0,0.9655172413793104,1.0,1.0,1.0,1.0,10.19283122696324,8.25270733943461,57.0,7.0,4.0,2.0,0.0,0.0,2.230769230769231,2.521700687824461,2.230769230769231,2.521700687824461,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.307692307692308,6.750118707408229,27.307692307692307,45.81918196451608,20.46153846153846,34.779341053311576,0.3076923076923077,0.8548504142651102,130.0,607.0,163.0,33.0,3.0,1
226,258553,0.99,1.0,0.9541379310344827,1.0,0.97,1.0,1.0,10.09606164829178,7.9447849416035154,57.0,15.0,8.0,4.0,0.0,0.0,1.148148148148148,1.8954135676924424,1.148148148148148,1.8954135676924424,0.037037037037037,0.1924500897298752,0.0,0.0,0.0,0.0,0.0,0.0,5.148148148148148,6.555700418506627,13.25925925925926,24.093715415168383,10.444444444444445,19.33576465702339,0.2592592592592592,0.5943705521611524,230.0,728.0,173.0,49.0,5.0,1
227,260378,0.96,1.0,0.9310344827586208,1.0,0.8181818181818182,1.0,1.0,9.366111559794232,9.11576842044137,53.0,12.0,5.0,1.0,0.0,0.0,1.2777777777777777,1.9645551975404016,1.2777777777777777,1.9645551975404016,0.2777777777777778,1.1785113019775793,0.0,0.0,0.0,0.0,0.0,0.0,4.666666666666667,3.804022638641116,26.27777777777778,38.97933925669968,19.666666666666668,30.179853038273144,0.3888888888888889,0.9785276387866012,270.0,848.0,133.0,28.0,9.0,1
228,262056,0.8,1.0,0.773103448275862,0.875,0.8563636363636363,0.7222222222222222,0.6666666666666666,10.652976313057598,9.158457118889473,52.0,12.0,9.0,2.0,0.0,0.0,1.6521739130434785,2.963546641382952,1.6521739130434785,2.963546641382952,0.217391304347826,0.5997364375010101,0.0,0.0,0.0,0.0,0.0,0.0,1.8695652173913044,2.9894412342912235,9.565217391304348,17.500197627342594,3.260869565217391,5.437390678561211,0.0,0.0,68.0,390.0,247.0,14.0,6.0,1
229,263143,1.0,1.0,0.9655172413793104,1.0,1.0,1.0,1.0,3.329400144027194,4.337196620076797,52.0,6.0,9.0,1.0,0.0,0.0,1.75,2.265686062395524,1.75,2.265686062395524,0.0625,0.25,0.0,0.0,0.0,0.0,0.0,0.0,4.875,6.097813815896098,7.6875,12.163983722448826,3.1875,4.118555572042218,0.0625,0.25,90.0,251.0,183.0,17.0,24.0,1
230,264095,0.99,1.0,0.956896551724138,1.0,0.9772727272727272,1.0,1.0,6.942886251299403,6.498246374762442,57.0,12.0,7.0,3.0,0.0,0.0,1.4545454545454546,2.539727633077305,1.4545454545454546,2.539727633077305,0.0909090909090909,0.4264014327112208,0.0,0.0,0.0,0.0,0.0,0.0,4.454545454545454,4.564117530385127,20.454545454545453,22.012393203499126,7.636363636363637,9.79088718459527,0.3181818181818182,0.8387271329003274,111.0,724.0,421.0,16.0,10.0,0
231,265883,1.0,1.0,0.9655172413793104,1.0,1.0,1.0,1.0,4.857123507090669,7.623099225746869,57.0,9.0,5.0,2.0,0.0,0.0,1.6875,2.056493779875511,1.6875,2.056493779875511,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.625,3.739429546512855,0.125,0.3415650255319866,0.125,0.3415650255319866,0.0,0.0,34.0,88.0,48.0,5.0,1.0,1
232,266470,0.86,1.0,0.8275862068965517,0.5,0.8181818181818182,0.5555555555555556,1.0,1.4972877392086952,2.915675812024652,53.0,10.0,5.0,1.0,0.0,0.0,1.75,2.3523038352503134,1.75,2.3523038352503134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4375,3.881043674065006,14.125,16.72074559741082,4.625,5.162363799656122,0.0,0.0,172.0,405.0,82.0,14.0,1.0,1
233,267468,0.98,1.0,0.9482758620689656,0.875,1.0,1.0,1.0,4.916864466069874,5.014000604876938,57.0,7.0,3.0,2.0,0.0,0.0,2.333333333333333,2.3868325657594203,2.333333333333333,2.3868325657594203,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.166666666666667,3.537676004830221,14.0,13.052342179227312,10.166666666666666,11.04398917826783,0.0833333333333333,0.2886751345948128,92.0,325.0,143.0,10.0,5.0,1
