,grade,seq_4_avg,quiz_avg,seq_0_avg,seq_1_avg,seq_2_avg,seq_3_avg,duracion_sesion_avg,duracion_sesion_std,duracion_EOL,num_sesiones_agosto,num_sesiones_septiembre,num_sesiones_noviembre,page_close_mean,page_close_std,problem_graded_mean,problem_graded_std,problem_check_mean,problem_check_std,problem_show_mean,problem_show_std,seg_prev_mean,seg_prev_std,seg_next_mean,seg_next_std,seg_goto_mean,seg_goto_std,load_video_mean,load_video_std,play_video_mean,play_video_std,pause_video_mean,pause_video_std,speed_change_video_mean,speed_change_video_std,num_eventos_seq_0,num_eventos_seq_1,num_eventos_seq_2,num_eventos_seq_3,num_eventos_seq_4,label
200433,0.94,1.0,0.9110344827586208,1.0,0.8563636363636363,1.0,1.0,11.02053629348434,8.727523322077793,59.0,11.0,5.0,3.0,0.0,0.0,1.9473684210526316,2.8377159087807513,1.9473684210526316,2.8377159087807513,0.2631578947368421,0.5619514869490163,0.0,0.0,0.0,0.0,0.0,0.0,4.421052631578948,3.81977005523288,22.68421052631579,28.682268296281645,10.210526315789474,11.433765528120942,1.631578947368421,1.8918106058538346,127.0,811.0,339.0,23.0,2.0,0
202175,1.0,1.0,0.9655172413793104,1.0,1.0,1.0,1.0,5.381426255323464,6.362054801975561,59.0,13.0,9.0,2.0,0.0,0.0,2.1666666666666665,2.884240035036984,2.1666666666666665,2.884240035036984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,2.2841609628806427,20.916666666666668,25.298078061844706,14.083333333333334,20.867942267812456,0.4583333333333333,0.883627241233132,151.0,659.0,396.0,110.0,6.0,1
203920,0.96,1.0,0.9310344827586208,1.0,1.0,0.8888888888888888,1.0,0.6168356006780626,0.4784960897652329,55.0,6.0,3.0,2.0,0.0,0.0,2.727272727272727,2.3702704103502237,2.727272727272727,2.3702704103502237,0.09090909090909091,0.30151134457776363,0.0,0.0,0.0,0.0,0.0,0.0,4.0,3.5496478698597698,3.4545454545454546,5.680909018170179,3.272727272727273,5.386852682056733,0.0,0.0,38.0,132.0,76.0,17.0,0.0,1
204505,0.93,1.0,0.896551724137931,1.0,1.0,0.8888888888888888,0.6666666666666666,5.161532867318068,6.722136235473943,53.0,5.0,2.0,1.0,0.0,0.0,3.75,2.434865792722759,3.75,2.434865792722759,0.5,1.4142135623730951,0.0,0.0,0.0,0.0,0.0,0.0,10.75,14.849242404917497,18.5,22.576852874443897,10.375,12.281664614956954,1.125,1.3562026818605375,138.0,258.0,187.0,22.0,9.0,1
205615,0.96,1.0,0.9224137931034484,1.0,0.7954545454545454,1.0,1.0,4.229604465710944,3.751525734815969,52.0,8.0,3.0,1.0,0.0,0.0,2.4166666666666665,2.937479851639476,2.4166666666666665,2.937479851639476,0.5,1.1677484162422846,0.0,0.0,0.0,0.0,0.0,0.0,3.3333333333333335,3.1430539096216403,10.666666666666666,18.81166627066268,8.5,16.08782713166019,0.3333333333333333,0.8876253645985945,111.0,244.0,68.0,14.0,2.0,0
206280,0.92,1.0,0.8851724137931035,1.0,0.9090909090909091,0.8522222222222222,1.0,3.788264979620061,6.682235647884459,53.0,7.0,4.0,2.0,0.0,0.0,2.6153846153846154,2.3992520201950973,2.6153846153846154,2.3992520201950973,0.07692307692307693,0.2773500981126146,0.0,0.0,0.0,0.0,0.0,0.0,4.076923076923077,4.5545131181707825,17.076923076923077,17.69397985408944,12.846153846153847,15.192356377721408,0.38461538461538464,0.869718492622904,81.0,364.0,192.0,41.0,7.0,1
207267,0.89,1.0,0.7931034482758621,0.5,0.6363636363636364,0.5555555555555556,1.0,0.8811012030475538,1.399004079853556,53.0,4.0,2.0,1.0,0.7142857142857143,1.4960264830861913,3.4285714285714284,2.5071326821120348,3.4285714285714284,2.5071326821120348,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8571428571428572,2.1157009420498154,0.5714285714285714,1.511857892036909,0.2857142857142857,0.7559289460184545,0.0,0.0,11.0,58.0,27.0,8.0,0.0,1
207510,1.0,1.0,0.9655172413793104,1.0,1.0,1.0,1.0,8.32849506711359,7.560016217192085,53.0,9.0,7.0,2.0,0.0,0.0,1.7777777777777777,2.4387932299193906,1.7777777777777777,2.4387932299193906,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.7777777777777777,3.473522632303435,17.77777777777778,23.74758329637567,14.88888888888889,20.905639230456142,0.3333333333333333,0.9701425001453319,186.0,443.0,239.0,55.0,4.0,1
208855,0.86,1.0,0.8275862068965517,1.0,0.8181818181818182,0.6666666666666666,0.6666666666666666,3.172721039901416,3.7377937389778073,53.0,6.0,2.0,1.0,0.0,0.0,3.111111111111111,3.018461712712472,3.111111111111111,3.018461712712472,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.692582403567252,9.11111111111111,9.803627446568495,5.666666666666667,6.48074069840786,0.4444444444444444,1.0137937550497031,77.0,171.0,47.0,18.0,10.0,1
209365,0.94,-1.0,0.8448275862068966,1.0,0.8181818181818182,0.7222222222222222,1.0,4.493751313938961,4.4118255684362895,52.0,6.0,8.0,1.0,0.0,0.0,1.6666666666666667,1.9880595947760096,1.6666666666666667,1.9880595947760096,0.06666666666666667,0.2581988897471611,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.760699023168052,9.266666666666667,12.702455705586262,4.2,4.901894677425396,0.4,0.9102589898327994,128.0,236.0,59.0,16.0,4.0,1
210064,0.96,1.0,0.9310344827586208,1.0,0.8181818181818182,1.0,1.0,6.6149023965368485,6.036644222244694,58.0,8.0,7.0,3.0,0.0,0.0,1.3888888888888888,2.404380533866049,1.3888888888888888,2.404380533866049,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0555555555555554,3.9328514161404455,25.055555555555557,32.862408744593445,16.944444444444443,22.398719034335087,0.3888888888888889,1.4199788270537859,115.0,694.0,296.0,9.0,2.0,0
211442,0.74,1.0,0.7127586206896552,1.0,0.5909090909090909,0.6855555555555556,0.6666666666666666,1.3998190080355097,1.072389163524525,58.0,11.0,6.0,2.0,0.0,0.0,1.5789473684210527,2.7551122073073175,1.5789473684210527,2.7551122073073175,0.6842105263157895,1.293257367998745,0.0,0.0,0.0,0.0,0.0,0.0,4.0,3.80058475033046,13.473684210526315,17.611134170848445,8.421052631578947,10.167026165631304,0.3684210526315789,0.9551338658818386,123.0,439.0,237.0,22.0,9.0,1
