,username,grade,seq_4_avg,quiz_avg,seq_0_avg,seq_1_avg,seq_2_avg,seq_3_avg,duracion_sesion_avg,duracion_sesion_std,duracion_EOL,num_sesiones_agosto,num_sesiones_septiembre,num_sesiones_noviembre,page_close_mean,page_close_std,problem_graded_mean,problem_graded_std,problem_check_mean,problem_check_std,problem_show_mean,problem_show_std,load_video_mean,load_video_std,play_video_mean,play_video_std,pause_video_mean,pause_video_std,speed_change_video_mean,speed_change_video_std,num_eventos_seq_0,num_eventos_seq_1,num_eventos_seq_2,num_eventos_seq_3,num_eventos_seq_4,avg_day_diff,std_dev_day_diff,nightactivity_2_to_5,nightactivity_0_to_2,sesionesde_2_5,sesionesde_0_2
29,706b0264725afe8bee13af119da4d435439417e5a858cc5023d12d47fb7a0fa3,0.89,1.0,0.8620689655172413,1.0,0.9090909090909091,0.8888888888888888,0.6666666666666666,7.657381217480497,7.083670915227187,57.0,18.0,20.0,5.0,0.0,0.0,0.813953488372093,1.789597107538166,0.813953488372093,1.789597107538166,0.09302325581395349,0.4261652646328927,1.813953488372093,3.2605565837568897,13.883720930232558,25.91580626560664,7.348837209302325,13.538100944635993,0.09302325581395349,0.366057079101847,215.0,949.0,368.0,13.0,0.0,29.023255813953487,17.65204476499485,637,241,18,24
30,185eeb62370c07ee7b30ba3a2eea4a657a099ec33337ab45639238c3e764cfd3,0.85,1.0,0.8248275862068966,1.0,0.9318181818181818,0.741111111111111,0.6666666666666666,9.384027225816352,7.251036227423958,56.0,13.0,9.0,4.0,0.0,0.0,1.5769230769230769,2.700712156792381,1.5769230769230769,2.700712156792381,0.2692307692307692,0.533493565673837,3.730769230769231,4.055196096937284,2.1538461538461537,2.989211370141733,1.4230769230769231,1.836803243095502,0.038461538461538464,0.19611613513818402,53.0,175.0,124.0,29.0,2.0,26.5,17.810670958725836,157,204,2,6
31,fe1f2339d98308cc992adf675531e0562a1de7d055e306587847fc89ac06a328,0.91,1.0,0.8765517241379311,1.0,0.8863636363636364,0.8522222222222222,1.0,6.714618801423901,7.381961095813624,60.0,11.0,11.0,4.0,2.576923076923077,2.872950774699447,1.7692307692307692,2.902518800045124,1.7692307692307692,2.902518800045124,0.2692307692307692,0.7243033788512825,3.230769230769231,3.6145007102801054,40.0,50.26330669583926,19.96153846153846,27.31077555724959,0.15384615384615385,0.7844645405527361,191.0,1238.0,993.0,83.0,11.0,29.96153846153846,18.72854670118484,1633,145,27,0
32,8e983ca99550f13d30b4c998d7d5a870dba3f1d10d430beb363a0bf22a9a1b1f,0.99,1.0,0.956896551724138,1.0,0.9772727272727273,1.0,1.0,14.279298136550768,8.321467959427205,60.0,10.0,8.0,3.0,0.0,0.0,1.5238095238095237,2.6385421660274377,1.5238095238095237,2.6385421660274377,0.09523809523809523,0.43643578047198467,2.8095238095238093,4.545536795792634,14.095238095238095,28.611020187866007,10.047619047619047,19.55626802453932,0.0,0.0,99.0,393.0,307.0,12.0,8.0,25.476190476190474,19.056807307676298,367,157,12,8
33,9e9cd4279544d1447f56caba25f5729007c903ceec7c0baed47354623ace2c72,0.99,1.0,0.956896551724138,1.0,0.9772727272727273,1.0,1.0,10.35491758551356,6.689826697689664,58.0,9.0,6.0,3.0,0.0,0.0,3.2222222222222223,4.869539844857376,3.2222222222222223,4.869539844857376,0.5555555555555556,1.1490262999202834,7.277777777777778,6.0078924126377355,62.27777777777778,125.23004974636525,48.611111111111114,106.11322415170166,0.2777777777777778,0.9582800496696,323.0,2223.0,230.0,27.0,6.0,28.0,19.68576673042495,1130,385,8,1
34,5db204d518356aacda3c7727334db4e787aacfa180873ebc49c8bea51ae48dd1,0.97,1.0,0.9396551724137931,0.875,0.9772727272727273,1.0,1.0,4.275884744275434,5.046582316294319,57.0,7.0,6.0,2.0,0.0,0.0,2.066666666666667,2.3744673588186544,2.066666666666667,2.3744673588186544,0.06666666666666667,0.2581988897471611,7.266666666666667,6.850095585012629,16.0,21.494185260204677,11.066666666666666,13.976851610873636,1.2,3.166791977470486,114.0,480.0,246.0,31.0,12.0,27.333333333333332,20.190756961210408,385,50,4,1
35,8b121c6de213c6b19cac225a3c911215dc6e238cb0df7a49670b763a018d6701,0.97,1.0,0.936896551724138,1.0,1.0,0.9077777777777778,1.0,14.266062188273569,8.019790598771117,60.0,9.0,13.0,3.0,0.0,0.0,1.56,2.9450523481482183,1.56,2.9450523481482183,0.2,0.5,5.4,7.170541588099651,35.64,57.18018304739268,10.04,13.343163043296743,0.12,0.6000000000000001,348.0,1353.0,685.0,35.0,13.0,30.0,18.303005217723125,364,667,8,15
36,cb707e3fb26ce4ce29724fa6ef132a63d22942c935f37937425016f3e087776d,0.96,1.0,0.9310344827586208,1.0,1.0,1.0,0.6666666666666666,8.342097777629148,8.104946266000047,60.0,14.0,8.0,4.0,0.0,0.0,1.2307692307692308,2.006144407717297,1.2307692307692308,2.006144407717297,0.0,0.0,5.8076923076923075,6.5055006311227475,0.38461538461538464,0.8521466107154603,0.23076923076923078,0.4296689244236597,0.0,0.0,87.0,213.0,112.0,16.0,7.0,25.23076923076923,19.57816680347308,275,318,8,12
37,5341c2ecf6a5c3ade98e8276e86cc6750356991b030465631f3a9a6ec23710ab,1.0,1.0,0.9655172413793104,1.0,1.0,1.0,1.0,2.8063532489774485,2.112972704536901,59.0,5.0,4.0,4.0,0.0,0.0,2.3076923076923075,2.839736354681991,2.3076923076923075,2.839736354681991,0.0,0.0,5.6923076923076925,4.888500373062878,19.46153846153846,21.407223798737444,14.461538461538462,17.134834813985343,1.0769230769230769,1.7059473644448735,82.0,367.0,325.0,16.0,11.0,33.92307692307692,21.677413508309897,0,0,0,0
38,1f5e15cda91823f1671b191b4e5e35785b620fb1facf7fb08b6dbff12db8a54f,0.98,1.0,0.9455172413793104,1.0,0.9472727272727273,1.0,1.0,2.8077851585095464,3.354201394048043,55.0,11.0,6.0,2.0,0.0,0.0,2.0,2.309401076758503,2.0,2.309401076758503,0.15789473684210525,0.37463432463267754,3.1578947368421053,2.4779731389167603,9.526315789473685,15.396133789770555,7.842105263157895,13.712375423903834,0.0,0.0,90.0,418.0,73.0,11.0,4.0,22.736842105263158,18.98783852090349,41,107,2,6
39,d8a491d3fe070480973fdddc967b13f1b0957c0383b63e907cef3483a991d7cb,1.0,1.0,0.896551724137931,1.0,0.8181818181818182,0.7777777777777778,1.0,6.0554835111129846,6.027448945769605,59.0,10.0,9.0,3.0,0.0,0.0,1.2727272727272727,1.7776875878998424,1.2727272727272727,1.7776875878998424,0.0,0.0,4.409090909090909,7.442855896502624,11.318181818181818,26.67152282623041,6.318181818181818,13.830216620678499,0.22727272727272727,0.8691439785278706,59.0,564.0,92.0,39.0,5.0,29.045454545454547,20.691560903921495,206,257,10,15
40,973271f9b2e02442f49f35fd3ca19313220a698765b2311529ba86dcf4658b15,0.88,1.0,0.8506896551724139,0.75,1.0,0.8522222222222222,0.6666666666666666,7.589789941062438,8.34570670166982,59.0,9.0,6.0,2.0,0.0,0.0,2.1176470588235294,2.891417319870492,2.1176470588235294,2.891417319870492,0.058823529411764705,0.24253562503633297,6.647058823529412,4.834009418570006,9.588235294117647,13.761626100907424,6.411764705882353,8.039424913585329,0.29411764705882354,0.8488746876271654,88.0,377.0,183.0,22.0,25.0,23.58823529411765,19.55140283818981,7,102,0,1
41,271f8300dc575dbe01a2f6577e726239d1ba758586a4bfd998e98ea9bdd036aa,0.81,1.0,0.7817241379310346,0.5,0.6363636363636364,0.5188888888888888,1.0,6.674666232890212,6.945588729147148,60.0,9.0,6.0,3.0,0.0,0.0,1.5,2.5952445198183276,1.5,2.5952445198183276,0.0,0.0,2.8333333333333335,3.434256491157704,22.666666666666668,28.551295427497426,18.555555555555557,24.541015421300248,0.1111111111111111,0.4714045207910317,165.0,579.0,281.0,19.0,3.0,29.166666666666668,19.847210501878656,511,148,9,1
